City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Bilma,NE,2021-09-24 15:28:33,18.6853,12.9164,101.77,7,47,4.9
92,Bethel,US,2021-09-24 15:24:32,41.3712,-73.414,66.02,83,75,6.91
93,Doha,QA,2021-09-24 15:24:01,25.2867,51.5333,91.71,40,0,6.91
94,Panaba,MX,2021-09-24 15:28:33,21.2833,-88.2667,84.0,70,91,2.15
95,Winnemucca,US,2021-09-24 15:27:32,40.973,-117.7357,48.25,46,1,4.61
96,Vila,PT,2021-09-24 15:28:34,42.0304,-8.1588,67.23,37,41,9.84
97,Miri,MY,2021-09-24 15:28:34,4.4148,114.0089,78.94,94,40,2.3
98,Vaini,TO,2021-09-24 15:28:34,-21.2,-175.2,68.16,83,20,13.8
99,Tuktoyaktuk,CA,2021-09-24 15:28:34,69.4541,-133.0374,30.2,93,90,13.8
100,Sassandra,CI,2021-09-24 15:28:35,4.95,-6.0833,83.41,72,35,10.45
101,Souillac,MU,2021-09-24 15:28:35,-20.5167,57.5167,72.36,78,40,11.5
102,Basoko,CD,2021-09-24 15:28:35,1.2391,23.616,70.95,90,100,1.81
103,Mizdah,LY,2021-09-24 15:28:36,31.4451,12.9801,91.62,26,7,4.83
104,Gimli,CA,2021-09-24 15:28:36,50.6336,-96.9907,51.82,50,67,8.05
105,Pullman,US,2021-09-24 15:23:40,46.7313,-117.1796,57.9,75,1,7.0
106,Gretna,US,2021-09-24 15:28:37,29.9147,-90.054,75.2,55,1,4.0
107,Bongandanga,CD,2021-09-24 15:28:37,1.5,21.05,74.89,79,100,2.77
108,Ayan,RU,2021-09-24 15:28:37,56.45,138.1667,52.86,60,0,4.83
109,Belmonte,BR,2021-09-24 15:28:37,-15.8631,-38.8828,77.0,54,75,9.51
110,Fukue,JP,2021-09-24 15:28:38,32.6881,128.8419,74.79,74,0,15.68
111,Kahului,US,2021-09-24 15:28:38,20.8947,-156.47,73.42,87,20,10.36
112,Victoria,HK,2021-09-24 15:25:20,22.2855,114.1577,86.38,81,6,8.01
113,Hobbs,US,2021-09-24 15:28:39,32.7026,-103.136,74.07,34,1,4.0
114,Butaritari,KI,2021-09-24 15:28:39,3.0707,172.7902,82.85,75,67,15.79
115,Teguldet,RU,2021-09-24 15:28:39,57.3064,88.1667,34.61,83,100,7.83
116,Port Macquarie,AU,2021-09-24 15:28:40,-31.4333,152.9167,51.76,55,0,6.38
117,Eyl,SO,2021-09-24 15:28:40,7.9803,49.8164,80.46,61,80,18.12
118,Petersburg,US,2021-09-24 15:24:13,37.2279,-77.4019,72.21,58,1,9.22
119,Kapaa,US,2021-09-24 15:28:40,22.0752,-159.319,77.32,78,40,1.01
120,Hasaki,JP,2021-09-24 15:28:41,35.7333,140.8333,72.28,69,100,15.23
121,Hervey Bay,AU,2021-09-24 15:28:41,-25.2986,152.8535,67.01,71,1,12.62
122,Erzurum,TR,2021-09-24 15:28:41,40.0,41.5,44.28,89,100,3.56
123,Dunedin,NZ,2021-09-24 15:26:12,-45.8742,170.5036,55.36,58,53,10.22
124,Panama City,PA,2021-09-24 15:27:02,8.9936,-79.5197,84.92,81,75,0.0
125,Menongue,AO,2021-09-24 15:28:42,-14.6585,17.691,95.27,7,6,12.41
126,Carutapera,BR,2021-09-24 15:28:42,-1.195,-46.02,88.9,53,59,11.12
127,Port Elizabeth,ZA,2021-09-24 15:28:43,-33.918,25.5701,66.09,63,0,14.97
128,La Palma,US,2021-09-24 15:28:43,33.8464,-118.0467,76.95,89,75,0.0
129,Pafos,CY,2021-09-24 15:27:33,34.7667,32.4167,78.71,54,1,8.55
130,Ternate,ID,2021-09-24 15:28:43,0.8,127.4,79.63,80,100,7.96
131,Sorong,ID,2021-09-24 15:28:44,-0.8833,131.25,75.43,88,100,7.07
132,Castro,BR,2021-09-24 15:26:17,-24.7911,-50.0119,76.03,43,94,5.12
133,Tasiilaq,GL,2021-09-24 15:28:44,65.6145,-37.6368,35.76,73,100,3.06
134,Svetlyy,RU,2021-09-24 15:28:44,54.675,20.1347,57.25,73,72,21.83
135,Zlutice,CZ,2021-09-24 15:28:45,50.0919,13.163,63.34,76,94,9.66
136,Alofi,NU,2021-09-24 15:28:45,-19.0595,-169.9187,71.49,88,14,4.61
137,Yantal,RU,2021-09-24 15:28:45,56.8471,105.2542,38.93,95,100,3.29
138,Vostok,RU,2021-09-24 15:28:46,46.4856,135.8833,40.26,86,75,2.98
139,Kerman,IR,2021-09-24 15:28:46,30.2832,57.0788,84.06,13,20,13.8
140,Weatherford,US,2021-09-24 15:28:46,32.7593,-97.7972,77.79,45,74,1.01
141,Tiksi,RU,2021-09-24 15:28:47,71.6872,128.8694,32.74,84,100,12.75
142,Tarancon,ES,2021-09-24 15:28:47,40.0085,-3.0073,69.89,47,100,11.12
143,Rabo De Peixe,PT,2021-09-24 15:28:47,37.8,-25.5833,69.31,68,40,8.05
144,Faya,SA,2021-09-24 15:28:48,18.3851,42.4509,71.71,52,97,9.35
145,Andrews,US,2021-09-24 15:28:48,32.3187,-102.5457,72.07,34,1,12.66
146,Inhambane,MZ,2021-09-24 15:28:48,-23.865,35.3833,76.98,50,0,12.66
147,Carnarvon,AU,2021-09-24 15:28:49,-24.8667,113.6333,68.07,77,75,18.41
148,Lebu,CL,2021-09-24 15:28:49,-37.6167,-73.65,59.85,64,9,7.2
149,Pacific Grove,US,2021-09-24 15:28:49,36.6177,-121.9166,66.58,93,90,1.01
150,Cabo San Lucas,MX,2021-09-24 15:28:50,22.8909,-109.9124,86.5,72,3,6.62
151,Hami,CN,2021-09-24 15:28:50,42.8,93.45,69.98,28,56,16.35
152,Tuatapere,NZ,2021-09-24 15:28:50,-46.1333,167.6833,50.83,93,99,10.16
153,Labuan,MY,2021-09-24 15:28:51,5.2767,115.2417,80.76,89,20,0.0
154,Acari,PE,2021-09-24 15:28:51,-15.4311,-74.6158,76.64,48,24,6.73
155,Shimoda,JP,2021-09-24 15:28:51,34.6667,138.95,72.1,81,100,9.42
156,Hays,US,2021-09-24 15:26:02,30.0502,-98.0336,76.39,58,39,1.99
157,Hamilton,US,2021-09-24 15:24:19,39.1834,-84.5333,67.75,66,1,1.99
